id,order_datetime,customer_document_number,total,status
1,2021-08-01 00:00:00,9,230.99,COMPLETED
2,2021-08-01 00:00:00,3,22.88,COMPLETED
3,2021-08-01 00:00:00,10,915.50,COMPLETED
4,2021-08-01 00:00:00,10,99.99,COMPLETED
5,2021-08-01 00:00:00,2,42.99,COMPLETED
6,2021-08-01 00:00:00,9,2.25,COMPLETED
7,2021-08-01 00:00:00,11,22.88,COMPLETED
8,2021-08-01 00:00:00,9,45.76,COMPLETED
9,2021-08-01 00:00:00,12,2.25,COMPLETED
10,2021-08-01 00:00:00,10,75.55,COMPLETED
11,2021-08-01 00:00:00,8,42.99,COMPLETED
12,2021-08-01 00:00:00,3,46.77,COMPLETED
13,2021-08-01 00:00:00,3,480.35,COMPLETED
14,2021-08-01 00:00:00,11,230.99,COMPLETED
15,2021-08-01 00:00:00,2,42.99,COMPLETED
16,2021-08-01 00:00:00,2,22.88,COMPLETED
17,2021-08-01 00:00:00,12,87.50,COMPLETED
18,2021-08-01 00:00:00,8,93.54,COMPLETED
19,2021-08-01 00:00:00,12,46.77,COMPLETED
20,2021-08-01 00:00:00,10,42.99,COMPLETED
21,2021-08-01 00:00:00,5,42.99,COMPLETED
22,2021-08-01 00:00:00,3,112.40,COMPLETED
23,2021-08-01 00:00:00,12,2.25,COMPLETED
24,2021-08-01 00:00:00,12,22.88,COMPLETED
25,2021-08-01 00:00:00,2,823.83,COMPLETED
26,2021-08-01 00:00:00,8,42.99,COMPLETED
27,2021-08-01 00:00:00,8,87.50,COMPLETED
28,2021-08-01 00:00:00,1,46.77,COMPLETED
29,2021-08-01 00:00:00,1,112.40,COMPLETED
30,2021-08-01 00:00:00,12,1471.20,COMPLETED
31,2021-08-01 00:00:00,9,735.60,COMPLETED
32,2021-08-01 00:00:00,5,2.25,COMPLETED
33,2021-08-01 00:00:00,2,841.35,COMPLETED
34,2021-08-01 00:00:00,8,480.35,COMPLETED
35,2021-08-01 00:00:00,9,99.99,COMPLETED
36,2021-08-01 00:00:00,3,915.50,COMPLETED
37,2021-08-01 00:00:00,3,93.54,COMPLETED
38,2021-08-01 00:00:00,2,592.75,COMPLETED
39,2021-08-01 00:00:00,1,735.60,COMPLETED
40,2021-08-01 00:00:00,1,75.55,COMPLETED
41,2021-08-01 00:00:00,1,230.99,COMPLETED
42,2021-08-01 00:00:00,9,112.40,COMPLETED
43,2021-08-01 00:00:00,5,1682.70,COMPLETED
44,2021-08-01 00:00:00,8,480.35,COMPLETED
45,2021-08-01 00:00:00,10,99.99,COMPLETED
46,2021-08-01 00:00:00,8,735.60,COMPLETED
47,2021-08-01 00:00:00,12,480.35,COMPLETED
48,2021-08-01 00:00:00,10,22.88,COMPLETED
49,2021-08-01 00:00:00,9,75.55,COMPLETED
50,2021-08-01 00:00:00,2,75.55,COMPLETED
51,2021-08-01 00:00:00,11,75.55,COMPLETED
52,2021-08-01 00:00:00,1,915.50,COMPLETED
53,2021-08-01 00:00:00,8,87.50,COMPLETED
54,2021-08-01 00:00:00,12,112.40,COMPLETED
55,2021-08-01 00:00:00,5,735.60,COMPLETED
56,2021-08-01 00:00:00,9,99.99,COMPLETED
57,2021-08-01 00:00:00,1,480.35,COMPLETED
58,2021-08-01 00:00:00,2,112.40,COMPLETED
59,2021-08-01 00:00:00,2,42.99,COMPLETED
60,2021-08-01 00:00:00,12,230.99,COMPLETED
61,2021-08-01 00:00:00,3,87.50,COMPLETED
62,2021-08-01 00:00:00,3,22.88,COMPLETED
63,2021-08-01 00:00:00,2,2.25,COMPLETED
64,2021-08-01 00:00:00,8,735.60,COMPLETED
65,2021-08-01 00:00:00,12,841.35,COMPLETED
66,2021-08-01 00:00:00,12,112.40,COMPLETED
67,2021-08-01 00:00:00,9,230.99,COMPLETED
68,2021-08-01 00:00:00,8,480.35,COMPLETED
69,2021-08-01 00:00:00,2,75.55,COMPLETED
70,2021-08-01 00:00:00,5,22.88,COMPLETED
71,2021-08-01 00:00:00,9,735.60,COMPLETED
72,2021-08-01 00:00:00,10,2.25,COMPLETED
73,2021-08-01 00:00:00,2,87.50,COMPLETED
74,2021-08-01 00:00:00,12,841.35,COMPLETED
75,2021-08-01 00:00:00,5,2.25,COMPLETED
76,2021-08-01 00:00:00,3,99.99,COMPLETED
77,2021-08-01 00:00:00,5,87.50,COMPLETED
78,2021-08-01 00:00:00,11,75.55,COMPLETED
79,2021-08-01 00:00:00,2,136.53,COMPLETED
80,2021-08-01 00:00:00,2,46.77,COMPLETED
81,2021-08-01 00:00:00,2,75.55,COMPLETED
82,2021-08-01 00:00:00,8,75.55,COMPLETED
83,2021-08-01 00:00:00,2,2.25,COMPLETED
